/home/aikauel/enap/aerialnet_project/datasets/data/v5/crops/2019-12-16_09-45-34-4983892-DJI_0001_class160454126510337_12.jpg,361,383,512,514,12
/home/aikauel/enap/aerialnet_project/datasets/data/v5/crops/2019-12-16_09-25-00-5037020-DJI_0023_class1604541265247755_3.jpg,673,119,724,206,3
/home/aikauel/enap/aerialnet_project/datasets/data/v5/crops/2019-12-16_09-24-30-5174845-DJI_0021_class160454126552375_3.jpg,470,619,607,699,3
/home/aikauel/enap/aerialnet_project/datasets/data/v5/crops/2019-12-16_09-24-30-5174845-DJI_0021_class1604541265532946_12.jpg,484,127,561,176,12
/home/aikauel/enap/aerialnet_project/datasets/data/v5/crops/2019-12-16_09-24-30-5174845-DJI_0021_class1604541265542277_3.jpg,643,221,786,321,3
/home/aikauel/enap/aerialnet_project/datasets/data/v5/crops/2019-12-16_09-24-12-5249282-DJI_0020_class1604541265959065_3.jpg,296,683,427,782,3
/home/aikauel/enap/aerialnet_project/datasets/data/v5/crops/2019-12-16_09-24-12-5249282-DJI_0020_class1604541265967728_12.jpg,290,890,365,935,12
/home/aikauel/enap/aerialnet_project/datasets/data/v5/crops/2019-12-16_09-24-12-5249282-DJI_0020_class1604541265976054_3.jpg,271,409,400,532,3
/home/aikauel/enap/aerialnet_project/datasets/data/v5/crops/2019-12-16_10-50-18-5164141-DJI_0007_class1604541266529534_12.jpg,476,301,649,484,12
/home/aikauel/enap/aerialnet_project/datasets/data/v5/crops/2019-12-16_10-49-44-5069924-DJI_0005_class1604541268822241_12.jpg,724,439,958,542,12
/home/aikauel/enap/aerialnet_project/datasets/data/v5/crops/2019-12-16_10-49-28-5103166-DJI_0004_class1604541269099485_3.jpg,629,502,706,612,3
/home/aikauel/enap/aerialnet_project/datasets/data/v5/crops/2019-12-16_10-49-28-5103166-DJI_0004_class1604541269108188_3.jpg,671,623,743,743,3
/home/aikauel/enap/aerialnet_project/datasets/data/v5/crops/2019-12-17_16-51-09_GPS_class1604541269972764_9.jpg,88,221,169,323,9
/home/aikauel/enap/aerialnet_project/datasets/data/v5/crops/2019-12-17_16-51-09_GPS_class1604541269980956_3.jpg,915,545,960,596,3
/home/aikauel/enap/aerialnet_project/datasets/data/v5/crops/2019-12-17_16-51-09_GPS_class1604541269989186_12.jpg,469,489,514,542,12
/home/aikauel/enap/aerialnet_project/datasets/data/v5/crops/2019-12-17_16-51-09_GPS_class1604541269997568_3.jpg,189,98,292,198,3
/home/aikauel/enap/aerialnet_project/datasets/data/v5/crops/2019-12-17_16-50-29_GPS_class1604541271326386_12.jpg,555,742,602,798,12
/home/aikauel/enap/aerialnet_project/datasets/data/v5/crops/2019-12-17_16-50-29_GPS_class1604541271334725_12.jpg,300,245,369,322,12
/home/aikauel/enap/aerialnet_project/datasets/data/v5/crops/2019-12-17_16-50-29_GPS_class1604541271343159_12.jpg,871,693,923,746,12
